Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,21400,21600,21300,21600,17275.26367,13151350
2012-01-03,21860,22100,21840,22100,17675.1543,16927750
2012-01-04,22100,22200,21500,21600,17275.26367,17103700
2012-01-05,21460,21580,21100,21100,16875.36914,17298400
2012-01-06,21120,21320,20600,20800,16635.43359,18816250
2012-01-09,20800,20820,20300,20320,16251.53711,19283000
2012-01-10,20420,20720,20420,20520,16411.5,20414800
2012-01-11,20340,20480,20280,20420,16331.51465,19110150
2012-01-12,20320,20580,20220,20560,16443.49023,18511000
2012-01-13,20560,21000,20520,20920,16731.40625,14630750
2012-01-16,20800,20800,20400,20600,16475.47656,11614950
2012-01-17,20820,20960,20480,20720,16571.45313,17084400
2012-01-18,21020,21040,20440,20600,16475.47656,15359650
2012-01-19,20760,21440,20740,21440,17147.29297,22385800
2012-01-20,21800,22100,21520,22100,17675.1543,25550800
2012-01-25,21840,22500,21840,22280,17819.10938,22751300
2012-01-26,22320,22420,21880,22260,17803.11328,17655150
2012-01-27,22400,22500,22220,22500,17995.0625,12741200
2012-01-30,22580,22600,22180,22300,17835.10547,16354450
2012-01-31,22100,22400,21780,22140,17707.13867,21731350
2012-02-01,22140,22140,21560,21580,17259.26563,22849650
2012-02-02,21720,22080,21360,21600,17275.26367,22402650
2012-02-03,21420,21680,21120,21320,17051.32227,17801400
2012-02-06,21680,21820,21320,21480,17179.28516,15837500
2012-02-07,21540,21920,21460,21860,17483.20313,11921950
2012-02-08,21980,22000,21680,21840,17467.21289,11809400
2012-02-09,21740,21800,21200,21680,17339.23633,24005850
2012-02-10,21680,21680,21220,21240,16987.33594,18579100
2012-02-13,21380,21780,21340,21660,17323.24414,16017250
2012-02-14,21680,21780,21480,21600,17275.26367,12317400
2012-02-15,21960,22760,21840,22700,18155.01758,28522350
2012-02-16,22600,22800,22420,22700,18155.01758,15411800
2012-02-17,23180,23600,23120,23520,18810.83984,17308450
2012-02-20,23560,23880,23320,23500,18794.84375,14814150
2012-02-21,23500,23960,23300,23600,18874.82227,10808250
2012-02-22,23640,24000,23440,23940,19146.74414,11779250
2012-02-23,23460,23580,23020,23200,18554.9082,23259200
2012-02-24,23060,23720,23060,23600,18874.82227,14240300
2012-02-27,23480,23600,23180,23420,18730.85547,8273300
2012-02-28,23920,24000,23620,23700,18954.79297,16648100
2012-02-29,23820,24180,23820,24120,19290.70703,17278300
2012-03-02,24300,24340,23580,23640,18906.81641,18023700
2012-03-05,23800,23820,23320,23480,18778.84961,11175250
2012-03-06,23580,23860,23340,23600,18874.82227,10572850
2012-03-07,23500,23660,23300,23440,18746.85156,11521550
2012-03-08,23600,23720,23300,23600,18874.82227,20270400
2012-03-09,23820,24620,23760,24600,19674.59961,18228800
2012-03-12,24480,24520,24200,24200,19354.68359,11826950
2012-03-13,24000,24580,24000,24420,19530.63672,11985550
2012-03-14,24600,25100,24600,25000,19994.50781,18279650
2012-03-15,25020,25200,24840,25000,19994.50781,14038800
2012-03-16,25200,25340,24760,24760,19802.5625,18070200
2012-03-19,24700,25360,24680,25200,20154.4707,11881850
2012-03-20,25340,25540,25200,25340,20266.4375,11935500
2012-03-21,25200,25200,24840,24840,19866.54297,12913550
2012-03-22,24700,25260,24700,25160,20122.48047,12675450
2012-03-23,24860,25480,24860,25220,20170.46484,10818600
2012-03-26,25360,25500,25220,25500,20394.40234,9237800
2012-03-27,25700,26220,25520,26220,20970.24609,14186350
2012-03-28,26000,26160,25900,26040,20826.28125,9914550
2012-03-29,25980,25980,25600,25600,20474.38477,11670000
2012-03-30,25400,25600,25140,25500,20394.40234,15281700
2012-04-02,25500,25980,25220,25980,20778.29688,12582950
2012-04-03,26400,26780,26040,26700,21354.13672,16507900
2012-04-04,26620,27020,26300,26400,21114.20313,14599350
2012-04-05,26040,26700,25940,26600,21274.16211,12921350
2012-04-06,26540,26680,26260,26640,21306.15039,10289650
2012-04-09,26400,26600,26120,26340,21066.21289,8572600
2012-04-10,26280,26400,26140,26220,20970.24609,11176100
2012-04-12,25660,25980,25360,25460,20362.41211,25240650
2012-04-13,25300,25540,25200,25360,20282.43359,35409200
2012-04-16,25460,25520,25000,25180,20138.4707,15222400
2012-04-17,25020,25280,24820,24980,19978.51172,14552300
2012-04-18,25540,26040,25380,25860,20682.32422,17253750
2012-04-19,25840,26140,25780,26140,20906.25977,13156400
2012-04-20,25880,25940,25560,25640,20506.37109,9900550
2012-04-23,25380,25600,25240,25580,20458.38086,8388400
2012-04-24,25300,25720,25240,25660,20522.36719,13238350
2012-04-25,26080,26300,25860,26100,20874.26563,13821600
2012-04-26,26400,26800,26340,26800,21434.11523,16479500
2012-04-27,27100,27660,27020,27480,21977.96484,15905350
2012-04-30,27900,28180,27540,27800,22233.90039,15757100
2012-05-02,28200,28360,27980,28200,22553.81055,18420750
2012-05-03,28040,28200,27960,28020,22409.84766,10327050
2012-05-04,27500,27960,26980,27200,21754.02734,20484300
2012-05-07,26840,27060,26500,26840,21466.10547,18908450
2012-05-08,26960,27040,26780,26820,21450.11328,12048600
2012-05-09,26700,26960,26480,26620,21290.15039,12661700
2012-05-10,26580,26720,26440,26540,21226.16992,13145000
2012-05-11,26300,26460,26060,26060,20842.2832,13626400
2012-05-14,26100,26540,26080,26280,21018.23438,15092100
2012-05-15,26080,26400,26000,26220,20970.24609,15558100
2012-05-16,25960,26000,24560,24600,19674.59961,38488900
2012-05-17,24600,24860,24020,24460,19562.62891,33041100
2012-05-18,24080,24100,23300,23320,18650.88086,30023750
2012-05-21,23880,24320,23800,24180,19338.6875,23702750
2012-05-22,25100,25100,24540,24800,19834.55469,23830550
2012-05-23,24800,24800,23900,24420,19530.63672,16157100
2012-05-24,24260,24500,23960,24500,19594.62109,15251250
2012-05-25,24660,24920,24460,24500,19594.62109,10164250
2012-05-29,24240,24760,24120,24760,19802.5625,10815350
2012-05-30,24760,24800,24300,24520,19610.61914,12653250
2012-05-31,24260,24260,23840,24220,19370.68359,22106900
2012-06-01,24260,24740,23980,24660,19722.58398,13554450
2012-06-04,23960,24100,23840,23920,19130.75,18068750
2012-06-05,24020,24180,23860,24060,19242.72461,12848900
2012-06-07,24780,25300,24660,25300,20234.44922,20928350
2012-06-08,25500,25500,24900,24940,19946.52344,9956350
2012-06-11,25440,25500,25320,25360,20282.43359,9906200
2012-06-12,24920,25200,24900,25100,20074.48828,8805200
2012-06-13,25320,25480,25120,25420,20330.41992,9572600
2012-06-14,25380,25420,25120,25220,20170.46484,21995050
2012-06-15,25000,25200,24280,24340,19466.65625,30404200
2012-06-18,24800,25140,24680,24860,19882.53906,17608150
2012-06-19,24900,24940,24440,24880,19898.53906,14839400
2012-06-20,24980,25300,24900,25040,20026.50586,13237700
2012-06-21,24680,24840,24520,24540,19626.61328,12753750
2012-06-22,23780,24040,23600,23640,18906.81641,31294350
2012-06-25,23420,23560,22560,22640,18107.02734,41318100
2012-06-26,22660,22980,22580,22780,18218.99414,25283500
2012-06-27,22800,23540,22600,23340,18666.87109,23542000
2012-06-28,23340,23600,23060,23360,18690.87891,10398350
2012-06-29,23340,24020,23060,24020,19218.96289,18604450
2012-07-02,24160,24180,23420,23480,18786.90039,19106750
2012-07-03,23640,23860,23400,23500,18802.89844,15801550
2012-07-04,23640,23940,23560,23820,19058.93555,19158750
2012-07-05,23740,23880,23540,23700,18962.91992,9068550
2012-07-06,23880,23880,23060,23220,18578.86133,21158900
2012-07-09,22700,22760,22520,22520,18018.7793,21282300
2012-07-10,22700,22840,22420,22540,18034.77539,17720700
2012-07-11,22580,22660,22160,22360,17890.75586,18001300
2012-07-12,22420,22520,21820,21820,17458.69141,24858600
2012-07-13,21920,22880,21820,22780,18226.80469,27070750
2012-07-16,22900,23100,22660,23040,18434.8418,15261950
2012-07-17,22960,23560,22720,23360,18690.87891,15885300
2012-07-18,23580,23700,22760,23080,18466.8457,14618050
2012-07-19,23600,24040,23440,23900,19122.94727,24847100
2012-07-20,24040,24060,23820,23820,19058.93555,11992100
2012-07-23,23300,23400,23100,23240,18594.86523,12844350
2012-07-24,23300,23500,23180,23400,18722.88281,14598050
2012-07-25,23060,23440,22780,23160,18530.85547,13609850
2012-07-26,23380,23480,23200,23440,18754.88477,13654750
2012-07-27,23900,24660,23820,24660,19731.03906,26686200
2012-07-30,25200,25560,25020,25500,20403.14453,19113350
2012-07-31,25600,26680,25500,26180,20947.22461,33735650
2012-08-01,25840,26300,25660,26000,20803.20703,19039100
2012-08-02,26000,26080,25220,25260,20211.11523,15951250
2012-08-03,24800,25340,24760,24860,19891.0625,15582650
2012-08-06,25700,26100,25640,25960,20771.19727,12289150
2012-08-07,26060,26080,25680,25880,20707.1875,10258400
2012-08-08,26120,26560,26020,26400,21123.25391,19459150
2012-08-09,26420,26960,26360,26800,21443.30273,30612650
2012-08-10,26700,26960,26600,26960,21571.32617,14733250
2012-08-13,26840,26940,26460,26500,21203.26367,9891050
2012-08-14,26520,27000,26520,26900,21523.31836,14396850
2012-08-16,27080,27100,26760,26900,21523.31836,14824150
2012-08-17,26880,26900,25720,25900,20723.19141,27642800
2012-08-20,25400,25660,25100,25660,20531.16602,19944800
2012-08-21,25840,26040,25640,25640,20515.16406,15315200
2012-08-22,25380,25620,25140,25280,20227.11523,16031200
2012-08-23,25220,25740,24980,25740,20595.16797,13857750
2012-08-24,25400,25740,25280,25500,20403.14453,14077200
2012-08-27,23780,24060,23460,23600,18882.90625,63803450
2012-08-28,23720,24180,23600,23900,19122.94727,27767400
2012-08-29,24180,24700,24140,24600,19683.03125,23415550
2012-08-30,24560,24580,24040,24300,19442.99219,16211400
2012-08-31,24220,24680,24140,24660,19731.03906,20301300
2012-09-03,24400,24700,24020,24360,19491.00586,13903800
2012-09-04,24380,24560,24200,24360,19491.00586,9916550
2012-09-05,24100,24240,23780,23780,19026.92969,17381950
2012-09-06,24000,24060,23860,23920,19138.94922,12373750
2012-09-07,24600,25020,24400,25000,20003.08008,25512400
2012-09-10,25200,25280,25000,25000,20003.08008,15883700
2012-09-11,24800,25300,24640,25120,20099.09375,9890800
2012-09-12,25360,25900,25180,25880,20707.1875,18473250
2012-09-13,25980,26100,25620,26020,20819.20703,19489950
2012-09-14,26600,26780,26540,26720,21379.28906,24872500
2012-09-17,26720,26720,26240,26300,21043.24609,14896000
2012-09-18,26280,26720,26160,26300,21043.24609,11232300
2012-09-19,26120,26460,25960,26280,21027.24023,12114550
2012-09-20,25860,26100,25680,25740,20595.16797,14199800
2012-09-21,26000,26140,25900,26040,20835.20898,14913400
2012-09-24,26000,26560,25840,26540,21235.27148,13195450
2012-09-25,26200,26680,26200,26540,21235.27148,11348000
2012-09-26,26260,26500,26120,26500,21203.26367,12054550
2012-09-27,26540,26840,26460,26760,21411.29492,14541600
2012-09-28,27180,27200,26780,26920,21539.32031,17906350
2012-10-02,27080,27420,27040,27380,21907.37305,13376250
2012-10-04,27020,27460,26780,27340,21875.37109,19127200
2012-10-05,27740,27800,27040,27400,21923.37891,17828800
2012-10-08,27500,27580,27200,27460,21971.38867,12037600
2012-10-09,27260,27620,27260,27440,21955.38672,8788650
2012-10-10,27060,27200,26500,26500,21203.26367,12976700
2012-10-11,26200,26400,25740,26080,20867.21289,23779850
2012-10-12,26100,26240,25760,25920,20739.20117,14977250
2012-10-15,25920,26240,25740,26000,20803.20703,10334000
2012-10-16,26520,26620,26300,26600,21283.2793,10671300
2012-10-17,26840,26920,26320,26720,21379.28906,8984550
2012-10-18,26720,26820,26560,26740,21395.29688,10498450
2012-10-19,26460,26500,25980,26040,20835.20898,13969950
2012-10-22,25540,26340,25520,26300,21043.24609,11741150
2012-10-23,26380,26440,26040,26260,21011.23828,9253550
2012-10-24,25940,26180,25780,26000,20803.20703,13454500
2012-10-25,25920,26440,25820,26440,21155.26172,11881100
2012-10-26,26120,26240,25740,25740,20595.16797,13793850
2012-10-29,25960,25980,25580,25980,20787.19922,11448050
2012-10-30,25980,26080,25840,25960,20771.19727,6643850
2012-10-31,26120,26240,25980,26200,20963.23242,10604850
2012-11-01,25900,26040,25800,25940,20755.19531,10455600
2012-11-02,26380,26660,26260,26540,21235.27148,18521400
2012-11-05,26560,26980,26400,26820,21459.30859,13062050
2012-11-06,26980,26980,26640,26980,21587.32227,8981800
2012-11-07,26860,27240,26700,27240,21795.35547,9676400
2012-11-08,26960,27140,26820,27000,21603.33203,15326600
2012-11-09,26700,27020,26520,26820,21459.30859,14550300
2012-11-12,26620,26940,26620,26900,21523.31836,6959250
2012-11-13,26940,26980,26520,26980,21587.32227,7325850
2012-11-14,27140,27140,26920,27100,21683.33789,10436000
2012-11-15,26700,26760,26520,26620,21299.2793,9959100
2012-11-16,26440,26520,26020,26140,20915.22266,12172550
2012-11-19,26300,26840,26260,26640,21315.2793,10137500
2012-11-20,27060,27300,26920,27280,21827.36328,13420300
2012-11-21,27520,27940,27440,27680,22147.41211,17780400
2012-11-22,27880,28380,27820,28340,22675.49023,14930950
2012-11-23,28440,28840,28340,28740,22995.53906,12322050
2012-11-26,28840,28860,27980,28080,22467.45898,13749850
2012-11-27,28100,28560,28080,28320,22659.49609,11836200
2012-11-28,28000,28760,27920,28260,22611.48438,14055800
2012-11-29,28040,28440,28040,28280,22627.48828,13073300
2012-11-30,28460,28500,27980,28120,22499.46484,16427600
2012-12-03,28400,28720,28160,28600,22883.52344,10220850
2012-12-04,28640,28680,28400,28600,22883.52344,9504900
2012-12-05,28600,29100,28540,29100,23283.58984,12436400
2012-12-06,29360,29420,28680,29080,23267.58594,14248700
2012-12-07,29000,29960,29000,29600,23683.65234,15882450
2012-12-10,30120,30120,29700,29820,23859.67773,13056100
2012-12-11,29960,29960,29380,29520,23619.63867,12657350
2012-12-12,29460,29920,29460,29800,23843.67188,15244450
2012-12-13,30000,30660,29860,30660,24531.78125,30680500
2012-12-14,30320,30720,30160,30300,24243.73633,13905250
2012-12-17,30020,30480,29940,30060,24051.70508,15511100
2012-12-18,30000,30320,29900,30300,24243.73633,13538450
2012-12-20,30300,30580,29900,30060,24051.70508,20128500
2012-12-21,29860,29920,28800,28840,23075.55664,27576200
2012-12-24,28960,29520,28840,29480,23587.63672,14488550
2012-12-26,29600,30060,29400,29400,23523.62305,14038700
2012-12-27,29400,30000,29400,29920,24062.45508,9143900
2012-12-28,29760,30600,29740,30440,24480.65234,10562750
2013-01-02,30660,31520,30540,31520,25349.21289,11449650
2013-01-03,31640,31680,30860,30860,24818.42773,14227400
2013-01-04,30800,30840,30200,30500,24528.9043,12999800
2013-01-07,30300,30560,30000,30400,24448.48242,12610950
2013-01-08,30260,30340,29960,30000,24126.78906,13822250
2013-01-09,30000,30260,29820,30000,24126.78906,12659950
2013-01-10,30300,30680,30000,30600,24609.33203,14663600
2013-01-11,30960,30960,30140,30660,24657.58203,11913550
2013-01-14,30780,31040,30560,31040,24963.19336,7999950
2013-01-15,31200,31200,30240,30240,24319.80664,10727150
2013-01-16,30280,30520,29660,29840,23998.11133,16221000
2013-01-17,30040,30040,29000,29380,23628.17773,20236700
2013-01-18,29600,29740,29100,29600,23805.10742,12516600
2013-01-21,29280,29500,28960,29080,23386.9043,14519650
2013-01-22,28900,29740,28900,29600,23805.10742,11947400
2013-01-23,30000,30040,29460,29460,23692.51367,9293550
2013-01-24,29360,29380,28820,29060,23370.82227,15999050
2013-01-25,29200,29220,28100,28340,22791.77539,21795250
2013-01-28,27920,28020,27420,27440,22067.97266,30852150
2013-01-29,27800,28360,27600,28180,22663.10352,21616550
2013-01-30,28520,28800,28240,28800,23161.72266,16170100
2013-01-31,28600,28960,28440,28960,23290.40039,16052800
2013-02-01,29200,29200,28440,28820,23177.80273,11576200
2013-02-04,29000,29060,28340,28740,23113.46289,12861900
2013-02-05,28300,28860,28280,28700,23081.29688,11388100
2013-02-06,28800,28860,28540,28540,22952.625,6897150
2013-02-07,28780,28780,28400,28400,22840.03516,9721100
2013-02-08,28360,29400,28300,29240,23515.57617,13423850
2013-02-12,29680,29680,29180,29360,23612.08398,8419750
2013-02-13,29480,29780,29120,29740,23917.69336,9209050
2013-02-14,29800,29880,29540,29800,23965.94922,7534100
2013-02-15,29800,29960,29540,29960,24094.625,7599950
2013-02-18,29800,30020,29620,29800,23965.94922,7109950
2013-02-19,29600,29980,29580,29840,23998.11133,6132250
2013-02-20,30040,30900,29940,30900,24850.59961,18039350
2013-02-21,30800,31160,30700,31000,24931.02344,13123650
2013-02-22,30600,30960,30400,30600,24609.33203,13852650
2013-02-25,30980,30980,30600,30600,24609.33203,8897550
2013-02-26,30300,30760,30160,30540,24561.07813,9244750
2013-02-27,31180,31180,30380,30540,24561.07813,8938200
2013-02-28,30600,31080,30600,30880,24834.51172,12784200
2013-03-04,31260,31260,30600,30780,24754.0918,13276850
2013-03-05,31120,31280,30960,31000,24931.02344,9294600
2013-03-06,31440,31500,30940,31200,25091.86523,10148650
2013-03-07,30960,31000,30240,30400,24448.48242,13482700
2013-03-08,30300,30340,29780,29980,24110.70898,18941000
2013-03-11,29860,30240,29700,30160,24255.47656,13748250
2013-03-12,30080,30240,29800,29880,24030.28516,8746550
2013-03-13,30120,30580,30020,30540,24561.07813,11303550
2013-03-14,30560,30680,29980,30400,24448.48242,12557800
2013-03-15,30580,30580,29600,29600,23805.10742,36618350
2013-03-18,29200,29200,28680,28900,23242.14453,26439550
2013-03-19,29000,29840,28960,29500,23724.68555,13977100
2013-03-20,29200,29700,29120,29200,23483.41406,13515750
2013-03-21,29220,29480,29120,29140,23435.16016,11768550
2013-03-22,29160,29360,29040,29100,23402.99414,10687100
2013-03-25,29600,29900,29400,29900,24046.37695,10272050
